0,"设集合$M=\left\{ -1,0,2,8 \right\},N=\left\{x|x\leqslant 2 \right\}$ ，则 $M\cap N =$","{—1,0,1} ","{0,1,2} ","{0,1} ","{—1,0,1,2} ",D,"C. {0,1}"
1,命题“若⼀个数是负数，则它的平⽅是正数”的逆命题是,“若⼀个数的平⽅是正数，则它是负数”,“若⼀个数不是负数，则它的平⽅不是正数”,“若⼀个数是负数，则它的平⽅不是正数”,“若⼀个数的平⽅不是正数，则它不是负数”,A,C. “若一元数是负数，则它的平方是正数。”
2,若数列${a_n}$的通项公式是$a_n=2(n+1)+3$则此数列,是公差为5的等差数列,不是等差数列,是公差为2的等差数列 ,是公差为3的等差数列,C,C. 是公差为2的等差数列
3,在△ABC中，a，b，c分别是⻆A，B，C所对的边，且a＝6，b＝8，A＝30°，则满⾜条件的三⻆形有,无数个,1个,0个,2个,D,B. 1个
4,设$\bigtriangleup ABC$的内角A，B，C所对边的长分别是a，b，c，若$a^{2}=b^{2}+c^{2}-bc$，则A=,$2\frac{\pi}{3}$,$\frac{\pi}{4}$,$\frac{\pi}{6}$,$\frac{\pi}{3}$,D,C. $\frac{\pi}{6}$
5,下列正确的是,{0}=0 ,0属于{0} ,以上都不对,0真包含于{0},B,D
6,设等比数列{a_n}的前n项的和为S_n，若S_10:S_5=1:2，则S_15:S_5等于,2:3,1:3,1:2,3:4,D,A. 2:3
7,某学院的A，B，C三个专业共有1200名学⽣，为了调查这些学⽣勤⼯俭学的情况，拟采⽤分层抽样的⽅法抽取⼀个容量为120的样本．已知该学院的A专业有380名学⽣，B专业有420名学⽣，则在该学院的C专业应抽取的学⽣是 ,120名,38名,40名,42名,A,C. 40名
8,"已知a=log_{2}0.2, b=2^0.2, c=0.2^0.3，则",a<b<c,c<a<b,b<c<a,a<c<b,D,C. b<c<a
9,某校现有⾼⼀学⽣210⼈，⾼⼆学⽣270⼈，⾼三学⽣300⼈，⽤分层抽样的⽅法从这三个年级的学⽣中随机抽取n名学⽣进⾏问卷调查，如果已知从⾼⼀学⽣中抽取的⼈数为7，那么从⾼三学⽣中抽取的⼈数应为,9,26,25,10,D,B. 26
10,下列元素中属于集合{x|x=2k k是⾃然数}的是,-2,3,10,7,C,D
11,"在$\bigtriangleup ABC$中，$cos\frac{C}{2}=\frac{\sqrt{5}}{5},BC=1, AC=5$，则AB等于",$2\sqrt{5}$,$4\sqrt{2}$,$\sqrt{29}$,$\sqrt{30}$,B,答案是A. $2\sqrt{5}$。
12,"若x\in R, 则“x>1” 是 ""|x|>1""的",既⾮充分也⾮必要条件,充分⾮必要条件,充分必要条件,必要⾮充分条件,B,B. 充分⾮必要条件
13,在集合﹛1，2，3，4…，10﹜中任取⼀个元素，所取元素恰好满⾜⽅程cos（30°•x ）= 1/2 的概率为,1/5,1/4,1/6,1/3,A,C. 1/6
14,下列求导运算正确的事,(x^3)'=3x^2,(x^2 cos(x))'=-2xsin(x),(x^2+1)'=2x+1,(1/x)'=1/x^2,A,B. (x^2 cos(x))'=-2xsin(x)
15,已知函数$f(3x)=log_{2}\sqrt{(9x+1)/2}，则f(1)的值为,1/2,2,1,log_{2}\sqrt{5},A,B. 2
